"Date Time","Salinity (psu)","DO (mg/L)","Temperature (C)","Total Dissolved Solids (mg/L)"
"2024-04-04 10:00:00.000","32.23650360107422","8.587209701538086","11.247459411621094","32340.2099609375"
"2024-04-04 11:00:00.000","32.35036087036133","8.728330612182617","11.074795722961426","32460.0830078125"
"2024-04-04 12:00:00.000","32.480899810791016","8.659758567810059","11.144888877868652","32570.945739746094"
"2024-04-04 13:00:00.000","32.661651611328125","8.67434310913086","11.061603546142578","32742.389678955078"
"2024-04-04 14:00:00.000","33.56940460205078","8.409260749816895","10.913029670715332","33574.501037597656"
"2024-04-04 15:00:00.000","33.77375030517578","8.37781810760498","10.830272674560547","33767.147064208984"
"2024-04-04 16:00:00.000","33.21320343017578","8.29321575164795","10.941431045532227","33251.51062011719"
"2024-04-04 17:00:00.000","32.85219192504883","8.35788345336914","11.073646545410156","32912.91046142578"
"2024-04-04 18:00:00.000","31.307373046875","8.398660659790039","11.187740325927734","31505.9757232666"
"2024-04-04 19:00:00.000","12.942439079284668","9.66092300415039","11.054211616516113","14081.056594848633"
"2024-04-04 20:00:00.000","9.530497550964355","9.907470703125","11.001285552978516","10616.79458618164"
"2024-04-04 21:00:00.000","7.4691267013549805","10.172616004943848","10.951435089111328","8470.874786376953"
"2024-04-04 22:00:00.000","6.492826461791992","10.324736595153809","10.926225662231445","7437.0880126953125"
"2024-04-04 23:00:00.000","5.820093631744385","10.549115180969238","10.880562782287598","6717.458724975586"
"2024-04-05 00:00:00.000","9.37484359741211","10.581369400024414","10.98625373840332","10456.742286682129"
"2024-04-05 01:00:00.000","25.72496223449707","9.648098945617676","10.946327209472656","26401.531219482422"
"2024-04-05 02:00:00.000","28.049440383911133","9.615337371826172","10.771415710449219","28568.31932067871"
"2024-04-05 03:00:00.000","30.88023567199707","9.46196460723877","10.756095886230469","31160.669326782227"
"2024-04-05 04:00:00.000","31.203777313232422","9.44245433807373","10.71398639678955","31458.932876586914"
"2024-04-05 05:00:00.000","30.26181983947754","9.46854305267334","10.646653175354004","30608.45375061035"
"2024-04-05 06:00:00.000","28.95264434814453","9.424215316772461","10.700879096984863","29405.26008605957"
"2024-04-05 07:00:00.000","22.51093292236328","9.665769577026367","10.671255111694336","23405.643463134766"
"2024-04-05 08:00:00.000","17.048879623413086","9.797093391418457","10.623028755187988","18159.587860107422"
"2024-04-05 09:00:00.000","12.786967277526855","9.968897819519043","10.486310005187988","13946.86508178711"
"2024-04-05 10:00:00.000","14.185453414916992","9.8185453414917","10.46765422821045","15345.949172973633"
"2024-04-05 11:00:00.000","15.918578147888184","9.709964752197266","10.520191192626953","17059.736251831055"
"2024-04-05 12:00:00.000","22.615705490112305","9.7700834274292","10.321821212768555","23530.17807006836"
"2024-04-05 13:00:00.000","29.69339370727539","9.581107139587402","10.351339340209961","30117.876052856445"
"2024-04-05 14:00:00.000","30.845064163208008","9.578299522399902","10.342984199523926","31170.501708984375"
"2024-04-05 15:00:00.000","32.21949005126953","9.485445976257324","10.348332405090332","32418.365478515625"
"2024-04-05 16:00:00.000","31.890321731567383","9.48562240600586","10.329717636108398","32122.085571289062"
"2024-04-05 17:00:00.000","30.8630428314209","9.463029861450195","10.339313507080078","31187.368392944336"
"2024-04-05 18:00:00.000","28.19048500061035","9.525854110717773","10.366851806640625","28736.404418945312"
"2024-04-05 19:00:00.000","15.164602279663086","9.971108436584473","10.256962776184082","16326.995849609375"
"2024-04-05 20:00:00.000","5.508318901062012","10.589070320129395","10.333547592163086","6390.318393707275"
"2024-04-05 21:00:00.000","5.534880638122559","10.68065071105957","10.634105682373047","6414.072513580322"
"2024-04-05 22:00:00.000","4.525895595550537","10.918805122375488","10.791875839233398","5313.113212585449"
"2024-04-05 23:00:00.000","3.876730442047119","11.036972045898438","11.058018684387207","4593.46342086792"
"2024-04-06 00:00:00.000","4.3229594230651855","11.001949310302734","11.009547233581543","5087.113857269287"
"2024-04-06 01:00:00.000","20.152616500854492","10.241948127746582","10.850194931030273","21147.958755493164"
"2024-04-06 02:00:00.000","26.78156280517578","9.882054328918457","10.845442771911621","27390.888214111328"
"2024-04-06 03:00:00.000","29.44938850402832","9.663697242736816","10.692749977111816","29861.000061035156"
"2024-04-06 04:00:00.000","30.867408752441406","9.543863296508789","10.639793395996094","31160.655975341797"
"2024-04-06 05:00:00.000","31.670520782470703","9.477307319641113","10.597670555114746","31894.43016052246"
"2024-04-06 06:00:00.000","29.92169761657715","9.465975761413574","10.639769554138184","30298.429489135742"
"2024-04-06 07:00:00.000","30.03919219970703","9.47266960144043","10.659323692321777","30403.79524230957"
"2024-04-06 08:00:00.000","29.204444885253906","9.379042625427246","10.680062294006348","29638.12828063965"
